X,Y,Z,
(mm),(mm),(mm),
111.83,214.5,151.6,LF
415.49,240,130,LA
150,527.89,145.05,LBJ
111.83,214.5,313.03,UF
343.99,237.18,253.08,UA
158.17,516.55,324.85,UBJ
180,475.17,165.84,PRO
180,375.56,340.12,PRI
107.59,543.15,159.64,TRO
55,236.43,159.69,TRI
180,215,522,DC
180,355.76,385.05,RD
159.77,524.2,246.11,WSP
162,600,247.89,WC
170,230,330,RPA1
190,230,330,RPA2
,,,
,,,
X,Y,Z,
(mm),(mm),(mm),
1467.35,262.74,153.42,LF
1720.3,232.7,150.03,LA
1792.77,489.12,159.87,LBJ
1467.35,323,299.89,UF
1720.3,232.7,267.95,UA
1797.26,481.99,335.82,UBJ
1720.3,444.37,346.27,PRO
1720.3,311.19,505.83,PRI
1833.19,498.56,172.51,TRO
1751.42,220,150.03,TRI
1720.3,25,470.57,DC
1720.3,219.8,522.78,RD
1788,510,245.84,WSP
1788,575,247.84,WC
1730.3,232.7,470.56,RPA1
1710.6,232.7,470.56,RPA2
